Pengku Liu=1=1
Akira Akimoto=1=0
Keqi Wang=1=0
Sung Hyo Park=1=1
Ying Hu=1=1
Kumiko Nakmura=1=0
Taiki Fujiwara=1=0
Asuka Nakashima=1=0
Chan Lim=1=0
Han-Gyong Jeung=1=0
Wajeeb Ishmael=1=1
Saalih Tamer=1=1
Suhaib Mahdi=1=0
Sakeen Syed=1=1
Mudrik Niazi=1=0
Aakif Anwar=1=1
Hamood Mahmud=1=0
Jumail Bagheri=1=1
Rong Zhong=1=1
Tsering Wangdu=1=1
Maria Curry=2=1
Ted Lewesk=2=1
Torom Talt=2=1
Jason Croghran=2=1
Carlos Watson=2=0
Wen Li=2=1
Sek Zintrrust=2=1
Taylor Munoz=2=0
Jerald French=2=0
Keva Hickey=2=1
Sallie Keene=2=0
Latonya Feeney=2=1
Odis Weatherford=2=0
Kasandra Parson=2=1
Fermina Ruth=2=1
Dennis Harris=2=0
Anne Lewis=2=0
Alejandro Garcia=2=1
Adelita Allocco=2=1
Wuke Chang=2=1
Andrew Burgess=3=0
Laser Lewesk=3=0
Rene Gibbs=3=0
Thirza Bash=3=0
Bernadette Joseph=3=1
Olga Padilla=3=1
Dorothy Dixon=3=0
Noah Hicks=3=0
Sheryl Frank=3=1
Sanya Kandinsky=3=0
Gleb Koshechkin=3=1
Alevtina Ponikarov=3=0
Roza Norin=3=1
Minnah Abdelnour=3=0
Najwa Rais=3=1
Yeshaya Levinstein=3=0
Eve Pirbright=3=1
Moselle Lasker=3=1
Hazel Parsons=3=0
Nacek Koski=3=1
